Closing Price,Open Price,Volume,MACD,ATR,US Dollar Index,SHIBOR,label
2698.35,2799.2,288515.85,-213.0785648,119.2,72.34,2.5006,2699.6
2699.6,2702.63,279163.65,-213.7322488,75.875,71.99,2.7238,2760.61
2760.61,2654.48,456603.05,-206.9414058,190.424,72.73,2.5762,2741.85
2741.85,2751.21,379050.1,-200.7591624,67.825,72.71,2.5632,2882.76
2882.76,2747.61,527320.24,-182.3869071,149.133,72.71,2.5679,2901.84
2901.84,2900.57,542480.78,-164.392315,98.07,72.96,2.5501,3015.13
3015.13,2927,693569.68,-139.3835911,113.43,72.59,2.5282,2973.73
2973.73,2970.98,616495.54,-121.5038492,106.705,72.49,2.4904,2953.5
2953.5,2962.86,442871.01,-107.7246342,74.325,71.91,2.3473,2975.87
2975.87,2927.24,345750.43,-93.91634179,79.569,71.96,2.3226,2852.98
2852.98,2987.06,472927.59,-91.83119711,148.467,71.7,2.3763,2745.6
2745.6,2818.76,394031.15,-97.71719261,150.32,72.06,2.4884,2718.07
2718.07,2790.26,326873.35,-103.4111071,107.183,72.05,2.492,2815.46
2815.46,2746.54,402034.02,-98.92435517,127.995,72.17,2.5009,2911.05
2911.05,2792.83,451195.77,-86.65641725,135.011,71.84,2.5052,2904.74
2904.74,2905.28,388149.76,-76.56044973,41.195,72.43,2.5041,2883.32
2883.32,2923.05,388212.33,-69.48697719,62.787,72.81,2.5007,2977.36
2977.36,2905.04,485386.65,-55.65128243,96.428,72.85,2.5209,2939.2
2939.2,2939.32,405710.81,-47.22125055,60.678,72.81,2.5192,2960.85
2960.85,2959.11,393086.4,-38.35140506,58.402,72.69,2.5167,2905.63
2905.63,2921.25,360362.75,-35.37013688,79.801,73.3,2.5305,2884.38
2884.38,2940.02,298108,-34.32614459,83.912,73.3,2.5236,2805.21
2805.21,2894.25,279409.66,-39.43289541,94.371,73.2,2.5276,2840.79
2840.79,2786.12,340314.91,-40.14640224,119.924,73.37,2.7765,2773.15
2773.15,2816.94,227823.24,-45.64353263,73.259,73.5,2.7898,2703.08
2703.08,2780.76,304692.35,-55.01995635,97.37,73.96,2.7902,2721.69
2721.69,2723.52,274040.22,-60.25427174,69.439,74.25,2.79,2720.44
2720.44,2717.66,233704.39,-63.76836758,64.475,74.54,2.7863,2591.46
2591.46,2719.38,308945.81,-76.08387439,138.631,75.84,2.7837,2456.81
2456.81,2579.81,321202.06,-95.60711334,148.668,76.27,2.7521,2444.16
2444.16,2431.38,241919.44,-110.823154,60.727,76.17,2.7284,2444.67
2444.67,2427.5,275517.11,-121.4403692,96.506,76.26,2.7029,2443.51
2443.51,2429.98,201572.36,-128.4673001,50.747,76.71,2.5299,2447.62
2447.62,2440.39,204222.61,-132.1814105,66.202,77.12,2.5483,2313.4
2313.4,2451.31,236231.06,-144.2914354,139.675,77.18,2.5867,2348.47
2348.47,2285.52,194771.06,-149.337393,82.298,76.76,2.5921,2532.94
2532.94,2332.39,450434.15,-136.8735319,221.127,76.93,2.5763,2443.98
2443.98,2494.26,375180.4,-132.6451902,97.002,76.08,2.5613,2404.93
2404.93,2421.25,262982.41,-130.9359403,81.348,76.74,2.5642,2400.55
2400.55,2408.03,186431.9,-128.4540386,66.142,76.81,2.5667,2331.53
2331.53,2370.53,237419.37,-130.5512149,93.612,77.27,2.565,2325.29
2325.29,2322.54,238625.84,-131.2043164,76.367,77.04,2.6188,2335.87
2335.87,2325.26,204002.91,-129.3773696,46.881,77.15,2.6347,2391.64
2391.64,2347.4,288778.45,-122.0223272,82.186,77.32,2.6359,2309.17
2309.17,2372.64,211528.03,-121.4479854,94.617,77.66,2.63,2285.41
2285.41,2292.69,184404.98,-121.5093646,41.202,78.03,2.6607,2245.96
2245.96,2279.6,237494.74,-123.3195007,76.473,78.09,2.6633,2251.15
2251.15,2238.65,189847.8,-122.9189693,54.299,78.94,2.6648,2183.43
2183.43,2193.04,216544.8,-126.6060632,78.205,78.88,2.6569,2126.52
2126.52,2189.82,221865.54,-132.592156,79.637,79.54,2.629,2139.15
2139.15,2135.22,176242.98,-134.763811,39.584,79.51,2.6154,2143.18
2143.18,2124.97,220578.44,-134.6079189,82.019,80.21,2.6178,2072.13
2072.13,2135.45,221767.81,-138.6195941,75.927,79.87,2.6145,2077.85
2077.85,2071.06,191970.2,-139.7266377,36.542,78.94,2.6175,2000.65
