close,open,volume,MACD,ATR,close,close
2698.35,2799.24,2885158500,-4.3,146.71,72.34,2.5
2699.6,2702.63,2791636500,-4.48,143.14,71.99,2.72
2760.61,2654.48,4566030500,7.28,147.22,72.73,2.58
2741.85,2751.21,3790501000,15.72,144,72.71,2.56
2882.76,2747.61,5273202400,41.97,143.42,72.71,2.57
2901.84,2900.57,5424807800,62.37,132.71,72.96,2.55
3015.13,2927,6935696800,89.91,124.88,72.59,2.53
2973.73,2970.98,6164955400,100.53,114.28,72.49,2.49
2953.5,2962.86,4428710100,102.47,114,71.91,2.35
2975.87,2927.24,3457504300,104.07,112.9,71.96,2.32
2852.98,2987.06,4729275900,86.59,113.63,71.7,2.38
2745.6,2818.76,3940311500,59.86,118.12,72.06,2.49
2718.07,2790.26,3268733500,38.78,111.94,72.05,2.49
2815.46,2746.54,4020340200,38.2,114.89,72.17,2.5
2911.05,2792.83,4511957700,50.19,116.02,71.84,2.51
2904.74,2905.28,3881497600,56.3,113.55,72.43,2.5
2883.32,2923.05,3882123300,56.36,104.43,72.81,2.5
2977.36,2905.04,4853866500,67.23,106.47,72.85,2.52
2939.2,2939.32,4057108100,67.27,100.15,72.81,2.52
2960.85,2959.11,3930864000,68.01,97.32,72.69,2.52
2905.63,2921.25,3603627500,59.18,94.92,73.3,2.53
2884.38,2940.02,2981080000,49.01,93.29,73.3,2.52
2805.21,2894.25,2794096600,31.04,94.72,73.2,2.53
2840.79,2786.12,3403149100,23.69,97.61,73.37,2.78
2773.15,2816.94,2278232400,10.16,92.23,73.5,2.79
2703.08,2780.76,3046923500,-6.88,88.45,73.96,2.79
2721.69,2723.52,2740402200,-13.88,85.76,74.25,2.79
2720.44,2717.66,2337043900,-16.72,81.22,74.54,2.79
2591.46,2719.38,3089458100,-33.08,81.48,75.84,2.78
2456.81,2579.81,3212020600,-57.7,89.15,76.27,2.75
2444.16,2431.38,2419194400,-70.51,89.01,76.17,2.73
2444.67,2427.5,2755171100,-73.4,89.01,76.26,2.7
2443.51,2429.98,2015723600,-69.96,88.3,76.71,2.53
2447.62,2440.39,2042226100,-61.91,88.86,77.12,2.55
2313.4,2451.31,2362310600,-68.9,93.14,77.18,2.59
2348.47,2285.52,1947710600,-63.2,93.02,76.76,2.59
2532.94,2332.39,4504341500,-30.62,102.07,76.93,2.58
2443.98,2494.26,3751804000,-17.73,100.44,76.08,2.56
2404.93,2421.25,2629824100,-11.45,101.02,76.74,2.56
2400.55,2408.03,1864319000,-5.19,98.78,76.81,2.57
2331.53,2370.53,2374193700,-7.5,100.51,77.27,2.57
2325.29,2322.54,2386258400,-7.05,101.36,77.04,2.62
2335.87,2325.26,2040029100,-2.72,94.81,77.15,2.63
2391.64,2347.4,2887784500,9.6,90.06,77.32,2.64
2309.17,2372.64,2115280300,8.6,92.48,77.66,2.63
2285.41,2292.69,1844049800,6.78,88.53,78.03,2.66
2245.96,2279.6,2374947400,2.53,90.37,78.09,2.66
2251.15,2238.65,1898478000,2.66,89.52,78.94,2.66
2183.43,2193.04,2165448000,-3.77,85.13,78.88,2.66
2126.52,2189.82,2218655400,-12.59,84.94,79.54,2.63
2139.15,2135.22,1762429800,-13.55,71.97,79.51,2.62
2143.18,2124.97,2205784400,-10.59,70.9,80.21,2.62
2072.13,2135.45,2217678100,-14.89,70.51,79.87,2.61
2077.85,2071.06,1919702000,-13.68,68.4,78.94,2.62
2000.65,2050.32,3356326100,-19.64,68.18,79.29,2.61
1929.14,1981.25,3286224200,-29,68.46,78.17,2.62
1895.99,1876.97,4782026300,-35.05,74.54,78.19,2.7
2073.11,2065.78,3652540400,-11.78,81.32,76.13,2.99
2207.61,2228.37,10199387300,23.23,87.8,76.19,3.04
2123.48,2141.6,7836561700,35.8,91.19,76.72,3.01
2138.85,2072.65,4532818000,46.28,92.03,77,3.01
2223.53,2143.73,7423791200,63.62,96.54,77.01,2.83
2243.66,2234.46,5942994300,75.99,95.6,76.95,2.84
2128.7,2206.56,4557526400,67.16,98.15,81.61,3.2
2102.45,2043.92,4306532500,56.69,103.29,81.23,3.2
2022.88,2041.99,3687470000,38.79,104.71,81.15,2.93
1995.3,2059.59,3358231100,23.74,104.31,81.4,2.8
1906.96,1913.27,3915159300,3.44,109.82,82.41,2.8
1985.49,1889.75,4353812000,2.21,113.64,81.85,2.6
1934.62,2054.41,5433194600,-3.53,116.9,81.56,2.56
1914.36,1911.03,3189239800,-7.87,110.52,82.29,2.36
1820.9,1833.48,4052964800,-20.44,104.68,82.25,2.39
1833.26,1837.91,2871542000,-23.95,94.71,82.36,2.29
1896.73,1828.41,3327715200,-15.02,95.32,83.08,2.29
1881.41,1901.24,3890839500,-8.79,92.42,84.73,2.3
1833.32,1854.6,3296857200,-8.73,87.95,85.34,2.29
1834.78,1794.68,3575865400,-6.21,87.4,84.83,2.3
1781.6,1831.46,3298066800,-9.23,84.28,86.53,2.29
1654.67,1746.67,3644184700,-24.95,85.52,87.15,2.3
1705.82,1614.62,4679280400,-25.04,86,86.15,2.29
1658.22,1723.23,3886948800,-27.86,86.24,84.48,2.3
1697.66,1669.97,4128429200,-21.07,83.66,84.53,2.29
1663.66,1688.09,2831453400,-17.95,76.41,85.59,2.29
1653.54,1648.56,2538109700,-14.19,70.35,86.3,2.29
1627.76,1646.2,2610016500,-12.21,70.65,84.74,2.33
1691.42,1641.26,4241821000,0.01,70.04,84.57,2.19
1649.78,1648.13,3078417900,4.56,70.57,86.22,2.25
1677.83,1618.75,3152159000,12.95,69.15,86.09,2.25
1801.67,1714.12,6394885900,35.51,74.69,85.87,2.18
1781.36,1795.3,6607285100,47.28,74.1,87.04,2.19
1801.82,1758.48,4408796000,56.77,73.72,87.43,2.19
1874.08,1777.03,8323455200,70.81,77.62,86.9,2.2
1943.65,1893.31,9116871700,86.47,73.39,86.32,2.17
1987.23,1934.74,8783662600,98.8,70.43,86.76,2.19
1839.82,1974.38,9727835300,83.81,76.82,87.11,2.22
1953.16,1831.6,8211740800,85.56,81.01,87.46,2.22
1932.43,1916.7,8318703800,80.4,83.45,88.22,2.24
1920.74,1872.27,8304932900,72.16,90.07,87.65,2.19
1837.64,1913.99,5056151700,53.14,93.01,85.87,2.2
1834.29,1870.06,4281459000,38.41,92.63,84.77,2.2
1843.5,1832.11,4556563500,28.67,92.46,85.78,2.2
1870.47,1961.89,8800832200,24.76,95.9,85.53,1.55
1829.92,1851.1,5159066000,16.04,90.88,86.55,1.59
1864.21,1823.77,4838633300,14.27,92.15,87.05,1.5
1868.63,1821.54,6135023500,13.11,93.89,86.57,1.49
1952.67,1884.6,8501914400,22.53,90.87,86.7,1.49
1982.93,1980.45,11918344100,31.16,92.6,86.52,1.49
2013.18,1969.74,7436632600,38.78,91.3,86.82,1.44
2095.04,2040.47,10760713100,51.87,85.53,85.51,1.43
2040.85,2104.12,9250981400,50.21,80.77,85.84,1.41
2096.39,2028.51,8327106200,53.28,81.16,85.45,1.14
2046.34,2087.43,7355623600,45.57,76.15,83.63,1.12
1960.38,2027.07,6738726600,26.8,77.72,83.66,1.11
1975.03,1991.55,5045109600,14.88,76.55,82.13,1.09
1994.45,1957,4792487800,8.45,78.29,80.35,1.03
2001.42,2002.03,5868515000,4.18,71.89,78.49,0.96
2045.1,2001.05,5842922400,6.17,72.5,79.78,0.94
2052.11,2037.37,6331122700,7.29,70.92,81.1,0.92
2017.55,2050.77,5294946400,2.48,69.9,81.26,0.91
1918.96,2019.23,6359046400,-13.98,71.1,81.45,0.91
1887.08,1893.23,4420183100,-28.33,67.71,80.98,0.9
1870.77,1891.53,3991683400,-38.54,68.06,80.98,0.9
1862.1,1868.34,3456088800,-44.58,64.36,81.13,0.9
1854.76,1852.41,3598687300,-47.4,62.69,81.53,0.89
1833.44,1852.95,3758462700,-49.73,59.88,80.94,0.89
1817.72,1835.11,3563135500,-50.82,57.53,81.17,0.95
1882.96,1848.33,4818702000,-40.61,54.33,82.55,0.91
1942.8,1880.67,7097409700,-24.45,55.06,82.78,0.9
1931.18,1942.67,5970216700,-14.48,51.73,82.17,0.89
1887.99,1894.66,5344649000,-12.91,53.27,81.58,0.88
1918.37,1886.49,4740721600,-7.26,51.37,82.52,0.84
1920.69,1911.74,5423415600,-2.92,51.31,83.2,0.83
1876.19,1892.66,4981813700,-5.59,50.15,84.25,0.82
1955.24,1873.63,5928323100,3.26,48.78,84.28,0.82
1954.87,1935.39,7894364800,8.72,48.82,84.62,0.82
1990.21,1965.44,9653863300,16.32,50.09,84.04,0.81
2012.47,2010.58,8194817700,23.14,52.33,85.03,0.81
2025.19,2006.53,5325926200,27.86,51.84,86.13,0.82
2021.71,1993.67,6411742800,28.87,52.98,85.46,0.91
2044.55,2034.29,5886194700,30.81,53.34,85.56,0.89
2032.68,2039.52,5750410900,28.72,50.76,85.58,0.88
2057.06,2052.44,5145390600,28.77,47.48,85.95,0.81
2108.91,2056.8,8764030200,33.62,49.68,84.88,0.83
2166.41,2118.56,10088842800,41.85,49.67,85.7,0.82
2150.97,2164.55,11510012200,42.37,52.43,86.09,0.83
2237.28,2158.08,10666490400,50.91,55.83,85.29,0.82
2296.67,2271.59,12952367000,60.49,57.61,84.88,0.83
2326.76,2288.07,11629454800,66.34,56.32,85.58,0.83
2331.14,2287.23,14757663700,66.11,60.51,85.71,0.84
2318.34,2335.4,11982621800,59.74,62.26,86.1,0.83
2399.07,2321.56,14040991000,61.65,64.64,86.11,0.83
2462.25,2421.19,15234666900,66.28,66.5,86.46,0.82
2385.29,2460.57,14101499100,54.32,68.43,87.76,0.82
2275.84,2331.66,11542206200,28.33,73.93,88.14,0.82
2298.41,2295.65,9085392800,11.7,76.5,87.5,0.82
2344.32,2300.81,8663206900,4.74,79.27,86.62,0.82
2410.48,2333.81,10946540300,6.8,83.03,87.33,0.82
2301.85,2376.7,12701755500,-7.93,87.31,86.89,0.82
2304.25,2325.04,10787752800,-18.22,89.84,87.86,0.81
2190.19,2295.43,10220038500,-40.01,95.28,87.8,0.81
2140.49,2164.54,8707641500,-59.56,95.46,88.15,0.81
2164.67,2123.37,6274618100,-67.12,95.56,88.91,0.8
2142.15,2109.84,6616731400,-72.57,92.84,89.07,0.8
2285.15,2150.24,11075003300,-55.12,96.6,88.48,0.8
2304.92,2314.08,13198734700,-39.84,95.54,89.1,0.8
2286.58,2260.76,8596545000,-31.49,94.98,88.59,0.8
2202.53,2302.01,8655594800,-36.24,98.52,89.17,0.81
2240.78,2175.31,5666044900,-33.25,95.68,88.62,0.8
2220.38,2288.05,7083867600,-32.99,96.71,87.63,0.8
2215.7,2208.04,5570011100,-32.36,96.37,87.36,0.8
2205.42,2229.25,5408309400,-32.18,91.92,87.26,0.8
2241.61,2197.25,4877385400,-26.29,88.32,87,0.8
2322.4,2244.11,9298052800,-11.36,86.8,86.88,0.8
2332.65,2335.42,10187007100,-0.55,78.44,84.1,0.8
2382.56,2337.52,9731876600,12.2,77.14,83.07,0.81
2379.84,2389.89,10939673800,18.73,76.36,83.71,0.8
2439.4,2384.67,11631304900,28.94,76.73,83.47,0.81
2451.78,2477.57,11199352500,34.83,69.28,84.1,0.8
2401.33,2435.63,9581666000,29.6,68.66,83.77,0.8
2479.79,2407.76,11324945200,34.07,71.69,84.12,0.8
