close,open,volume,MACD,ATR,USDollarIndex,TIBOR
13463.20,13514.86,1214337792.00,-186.56,237.94,72.34,0.60
13286.37,13489.87,1365464704.00,-201.75,229.75,71.99,0.60
13265.40,13161.78,1542018688.00,-202.53,228.12,72.73,0.60
13237.89,13285.49,1173963776.00,-194.61,210.81,72.71,0.60
13360.04,13212.80,1070972288.00,-162.10,221.70,72.71,0.60
13033.10,13286.50,1217872640.00,-172.84,236.47,72.96,0.60
13052.13,13169.89,1229265152.00,-165.57,227.04,72.59,0.60
13067.21,12934.31,1201250816.00,-147.52,221.52,72.49,0.60
13039.69,13063.50,1462564480.00,-128.76,219.49,71.91,0.60
13010.16,13022.29,1238215808.00,-110.51,224.98,71.96,0.60
12754.56,12902.13,1187817728.00,-122.12,230.73,71.70,0.60
12760.80,12725.12,1223962368.00,-118.16,230.13,72.06,0.60
12887.95,12889.80,1110703744.00,-88.93,215.84,72.05,0.60
12803.70,12976.22,1132153984.00,-72.18,222.49,72.17,0.60
13184.96,12944.56,1123587072.00,-4.55,240.58,72.43,0.60
13312.93,13259.65,1272721408.00,59.11,237.78,72.81,0.60
13603.31,13411.28,1262193280.00,137.53,243.66,72.85,0.60
13334.76,13452.37,1096224768.00,149.45,252.66,72.81,0.60
13353.78,13407.36,935564864.00,155.42,245.67,72.69,0.60
13159.45,13220.33,1064956224.00,129.76,242.81,73.30,0.60
13367.79,13267.37,1089965056.00,136.73,240.05,73.30,0.60
13376.81,13410.40,1370148096.00,138.02,240.17,73.20,0.60
13094.59,13276.57,1350121728.00,98.21,246.72,73.37,0.60
12933.18,13083.28,1419848448.00,49.91,245.85,73.50,0.60
12914.66,12957.01,1446004736.00,16.95,235.99,73.96,0.60
13254.89,13059.43,1563382272.00,41.09,252.90,74.25,0.60
13124.99,13257.99,1359369344.00,39.64,256.82,74.54,0.60
13168.41,13026.53,1623267968.00,44.27,261.08,75.84,0.60
13430.91,13259.46,1138134016.00,80.32,255.30,76.27,0.60
13303.60,13397.99,1252375936.00,84.25,251.81,76.17,0.60
13023.05,13205.64,1251875200.00,48.08,256.09,76.26,0.60
12956.80,12942.61,1164097920.00,15.92,247.85,76.71,0.60
13019.41,12991.91,947138240.00,4.36,243.24,77.12,0.60
13165.45,12971.49,1140925952.00,16.97,243.28,77.18,0.60
12865.05,13016.50,1032525760.00,-12.96,255.46,76.76,0.60
12851.69,12753.98,1103675904.00,-31.31,252.49,76.93,0.60
12752.21,12885.34,1052003776.00,-52.37,239.91,76.08,0.60
12666.04,12727.37,878907904.00,-72.20,233.95,76.74,0.60
12878.66,12797.54,866306304.00,-51.92,243.02,76.81,0.60
12778.71,12711.03,870524672.00,-47.35,231.72,77.27,0.60
12752.96,12734.39,869430656.00,-43.27,222.99,77.04,0.60
12768.25,12827.72,896829376.00,-34.39,210.99,77.15,0.60
13072.87,12925.45,1207329792.00,14.05,211.76,77.32,0.60
12834.18,12936.81,875247296.00,15.37,217.75,77.66,0.60
12609.47,12779.89,1265932416.00,-11.17,223.41,78.03,0.60
12689.59,12703.36,1292558464.00,-14.85,223.00,78.09,0.60
12557.66,12627.64,1451849472.00,-31.03,230.00,78.94,0.60
12212.23,12385.65,1556755456.00,-81.39,234.16,78.88,0.60
12624.46,12359.93,1350642432.00,-53.63,239.60,79.54,0.60
12400.65,12529.96,1195933440.00,-59.43,248.10,79.51,0.60
12346.63,12249.14,1551689088.00,-64.15,254.04,80.21,0.60
12102.50,12237.52,1315643904.00,-92.06,264.39,79.87,0.60
12214.76,12256.78,1946382336.00,-87.35,259.76,78.94,0.60
11609.72,12028.45,1839568512.00,-153.80,291.25,79.29,0.60
11749.79,11737.62,1580917376.00,-165.90,303.29,78.17,0.63
11489.30,11576.94,1630065920.00,-194.06,326.11,78.19,0.66
11920.86,11631.60,1846950912.00,-142.04,334.71,76.13,0.81
12090.59,12037.89,1504763264.00,-75.58,342.17,76.19,0.83
12115.03,12031.98,1526432000.00,-21.92,326.52,77.00,0.84
12006.53,11925.71,1135051776.00,3.98,335.22,77.01,0.84
11893.16,12026.34,1314407936.00,10.49,343.69,76.95,0.84
11743.61,11883.25,1224830592.00,-0.14,339.92,77.71,0.67
11259.86,11565.70,1650215680.00,-63.60,348.73,79.24,0.67
11368.26,11396.61,1423933696.00,-81.12,342.16,79.69,0.67
11154.76,11423.13,1564223360.00,-109.84,346.72,80.56,0.67
10938.14,11052.10,1743626496.00,-144.22,343.26,80.61,0.66
10473.09,10817.27,1849911936.00,-211.72,367.92,81.61,0.66
10155.90,10328.54,2107747840.00,-277.09,360.32,81.23,0.66
9203.32,10011.64,2054947456.00,-418.16,412.16,81.15,0.67
9157.49,9168.16,2134867328.00,-482.60,404.60,81.40,0.69
8276.43,9016.34,2472608000.00,-601.14,448.21,82.41,0.71
9447.57,8407.94,1693383552.00,-484.06,507.93,81.56,0.71
9547.47,9390.50,1849806976.00,-361.07,516.60,82.29,0.71
8458.45,9400.85,1861989504.00,-391.75,574.40,82.25,0.71
8693.82,8579.57,1714729472.00,-347.20,575.22,82.36,0.71
9005.59,8775.24,1656398336.00,-247.29,575.87,83.08,0.71
9306.25,9139.26,1547894144.00,-118.78,559.45,84.73,0.71
8674.69,9198.14,1605172608.00,-97.79,590.50,85.34,0.71
8460.98,8547.79,2168112640.00,-91.73,615.47,84.83,0.72
7649.08,8391.04,1946985856.00,-171.50,658.13,86.53,0.73
7162.90,7568.36,2374355200.00,-258.91,670.56,87.15,0.73
7621.92,7143.34,2407035392.00,-225.30,675.89,86.15,0.73
8211.90,7741.52,2228553472.00,-100.37,646.88,84.48,0.73
9029.76,8269.71,2205716224.00,104.56,680.91,84.53,0.72
8576.98,8958.22,2060189824.00,186.48,638.82,85.59,0.71
9114.60,8702.77,1648387584.00,312.98,594.97,84.74,0.54
9521.24,9224.05,2086355200.00,443.37,600.31,84.57,0.53
8899.14,9373.65,1759617664.00,437.05,573.56,86.22,0.53
8583.00,8774.49,2063490816.00,383.42,596.98,86.09,0.53
9081.43,8711.99,1553627264.00,406.04,609.30,85.87,0.53
8809.30,8965.29,1537729536.00,376.00,611.01,87.04,0.53
8695.51,8694.91,1537031936.00,333.88,582.69,87.43,0.54
8238.64,8564.47,1666442752.00,241.84,574.77,86.90,0.54
8462.39,8378.13,1555689088.00,209.67,548.87,86.32,0.54
8522.58,8366.88,1460046336.00,195.34,535.40,86.76,0.55
8328.41,8415.60,1442276352.00,160.04,506.03,87.11,0.55
8273.22,8309.35,1438893824.00,130.82,482.06,87.46,0.56
7703.04,8149.77,1543177984.00,40.92,464.29,88.22,0.58
7910.79,7600.35,1852447744.00,16.89,473.98,87.65,0.58
8323.93,8026.06,1550396800.00,61.58,465.46,84.77,0.59
8213.22,8229.72,1188740480.00,80.01,448.87,85.78,0.59
8373.39,8311.24,1166083328.00,115.39,415.37,85.53,0.60
8512.27,8400.05,1453222784.00,156.58,383.12,86.55,0.61
8397.22,8464.36,1069235456.00,166.46,360.38,87.05,0.61
7863.69,8266.32,1360096000.00,102.42,371.57,86.57,0.62
8004.10,7965.31,1211951744.00,81.19,368.54,86.70,0.62
7924.24,8030.20,1479349248.00,59.61,347.88,86.52,0.61
7917.51,7975.05,1393595136.00,48.13,323.91,86.82,0.61
8329.05,7970.69,1389027456.00,96.86,316.17,85.51,0.60
8395.87,8362.37,1507515776.00,136.56,313.62,85.84,0.60
8660.24,8376.00,1556997120.00,193.42,318.95,85.45,0.60
8720.55,8642.26,1621329664.00,231.57,292.61,83.63,0.60
8235.87,8599.12,2265723904.00,185.90,295.76,83.66,0.60
8664.66,8349.85,1292909568.00,206.26,297.06,82.13,0.60
8568.02,8608.40,1321373056.00,199.41,298.42,80.35,0.60
8612.52,8658.22,1483530752.00,193.41,303.43,78.49,0.60
8667.23,8565.16,1388529408.00,189.13,304.29,79.78,0.58
8588.52,8640.22,1379795072.00,168.69,301.98,81.10,0.75
8723.78,8602.50,1097824768.00,166.12,275.49,81.26,0.65
8517.10,8630.25,1007884416.00,130.86,279.37,80.98,0.63
