Closing Price,Open Price,Volume,MACD,ATR,US dollar Index,Interbank Offered Rate,label
13463.2,13514.86,1214337792,-114.3016494,128.06,72.34,0.60333,13286.37
13286.37,13489.87,1365464704,-147.1170425,242.82,71.99,0.60333,13265.4
13265.4,13161.78,1542018688,-172.8233813,208.06,72.73,0.6025,13237.89
13237.89,13285.49,1173963776,-193.1887079,153.09,72.71,0.6025,13360.04
13360.04,13212.8,1070972288,-197.1987079,239.75,72.71,0.6025,13033.1
13033.1,13286.5,1217872640,-224.1738508,375.5,72.96,0.6025,13052.13
13052.13,13169.89,1229265152,-241.2354716,251.55,72.59,0.60167,13067.21
13067.21,12934.31,1201250816,-250.6507532,209.53,72.49,0.60167,13039.69
13039.69,13063.5,1462564480,-257.3663071,245.88,71.91,0.60167,13010.16
13010.16,13022.29,1238215808,-262.0505011,215.97,71.96,0.60167,12754.56
12754.56,12902.13,1187817728,-283.1238667,294.35,71.7,0.60083,12760.8
12760.8,12725.12,1223962368,-295.9100778,144.06,72.06,0.60083,12887.95
12887.95,12889.8,1110703744,-292.41255,168.94,72.05,0.60083,12803.7
12803.7,12976.22,1132153984,-293.0607826,237.31,72.17,0.6,13184.96
13184.96,12944.56,1123587072,-259.81503,381.26,72.43,0.6,13312.93
13312.93,13259.65,1272721408,-220.5984999,203.67,72.81,0.6025,13603.31
13603.31,13411.28,1262193280,-164.1951386,290.38,72.85,0.60167,13334.76
13334.76,13452.37,1096224768,-139.5560934,279.09,72.81,0.6025,13353.78
13353.78,13407.36,935564864,-117.1443503,141.82,72.69,0.6025,13159.45
13159.45,13220.33,1064956224,-113.7524222,335.56,73.3,0.6025,13367.79
13367.79,13267.37,1089965056,-93.17888972,212.83,73.3,0.6025,13376.81
13376.81,13410.4,1370148096,-75.27861338,211.29,73.2,0.6025,13094.59
13094.59,13276.57,1350121728,-82.90958076,337.6,73.37,0.60167,12933.18
12933.18,13083.28,1419848448,-100.8194318,203.77,73.5,0.60167,12914.66
12914.66,12957.01,1446004736,-115.1798059,156.24,73.96,0.60167,13254.89
13254.89,13059.43,1563382272,-97.97736612,380.85,74.25,0.60083,13124.99
13124.99,13257.99,1359369344,-93.74551315,223.84,74.54,0.60083,13168.41
13168.41,13026.53,1623267968,-85.89793018,296.91,75.84,0.60083,13430.91
13430.91,13259.46,1138134016,-57.83047424,300.4,76.27,0.60083,13303.6
13303.6,13397.99,1252375936,-45.33704894,154.76,76.17,0.60083,13023.05
13023.05,13205.64,1251875200,-57.41214821,350.26,76.26,0.60083,12956.8
12956.8,12942.61,1164097920,-71.50332687,163.7,76.71,0.60083,13019.41
