ClosePrice,OpenPrice,Volume,MACD,ATR,USDollarIndex,FederalFundRate,label
1284.91,1276.69,584629,-25.5455948,24.63,72.34,2.11,1261.52
1261.52,1285.82,527609,-27.57198621,30.66,71.99,1.95,1262.9
1262.9,1262.96,324759,-28.73531868,19.47,72.73,1.92,1252.31
1252.31,1262.9,526542,-30.1640798,33.27,72.71,1.99,1273.7
1273.7,1251.84,603411,-29.23340455,31.33,72.96,1.97,1244.69
1244.69,1273.38,518100,-30.48528685,32.79,72.59,1.99,1253.39
1253.39,1245.25,584043,-30.42467855,20.89,72.49,2.01,1239.49
1239.49,1248.66,674220,-31.13930534,31.92,71.91,1.97,1228.3
1228.3,1241.61,543486,-32.23698382,28.49,71.96,2.06,1214.91
1214.91,1226.83,736364,-33.79776344,33.91,71.7,2.16,1245.36
1245.36,1214.65,673863.04,-32.20637695,34.13,72.06,1.95,1260.32
1260.32,1246.31,736520.96,-29.39914962,20.82,72.05,2.03,1260.68
1260.68,1258.22,565328,-26.83600399,10.42,72.17,1.96,1260
1260,1261.82,463064,-24.57626307,12.04,71.84,1.98,1277
1277,1257.08,618023,-21.16961405,28.59,72.43,1.97,1282.19
1282.19,1278.87,670583,-17.84532079,15.11,72.81,2.04,1252.54
1252.54,1283.22,612798,-17.4026942,31.74,72.85,2.06,1257.76
1257.76,1253.51,467256,-16.44117544,11.48,72.81,2.13,1234.37
1234.37,1257.76,428296,-17.36635389,25.72,72.69,2,1263.2
1263.2,1236.38,541424,-15.59347258,28.83,73.3,2.05,1284.26
1284.26,1264.52,563133,-12.34675961,21.13,73.3,2.03,1267.38
1267.38,1281.37,534605,-11.00888752,18.96,73.2,2.09,1260.31
1260.31,1269.42,468487,-10.39922833,15.98,73.37,2.04,1249.01
1249.01,1260.16,456228,-10.70448989,13.04,73.5,1.97,1284.88
1284.88,1254.87,121931,-7.960241948,35.87,73.96,1.97,1289.19
1289.19,1283.99,487342,-5.375657467,15.67,74.25,2.01,1266.07
1266.07,1286.51,531938,-5.133767546,24.9,74.54,1.96,1296.32
1296.32,1266.29,496681,-2.472642764,35.74,75.84,2.01,1305.32
1305.32,1294.42,506731,0.358411042,21.74,76.27,1.99,1289.59
1289.59,1304.79,471129,1.31757387,19.68,76.17,1.95,1285.83
1285.83,1288.64,478760,1.754096611,19.17,76.26,1.98,1292.93
