close,open,volume,MACD,ATR,USDollarIndex,FederalFundRate
1284.91,1276.69,1444339968.00,-11.47,20.10,72.34,2.11
1261.52,1285.82,1258079616.00,-12.42,20.74,71.99,1.95
1262.90,1262.96,770728320.00,-11.79,20.69,72.73,1.92
1252.31,1262.90,1327615232.00,-11.72,22.16,72.71,1.99
1273.70,1251.84,1439367680.00,-7.89,23.25,72.96,1.97
1244.69,1273.38,1290779904.00,-8.31,24.34,72.59,1.99
1253.39,1245.25,1318569600.00,-6.55,24.61,72.49,2.01
1239.49,1248.66,1503352960.00,-6.39,24.86,71.91,1.97
1228.30,1241.61,1207123200.00,-6.87,26.29,71.96,2.06
1214.91,1226.83,1673262720.00,-7.99,27.17,71.70,2.16
1245.36,1214.65,1472663680.00,-3.85,28.09,72.06,1.95
1260.32,1246.31,1674527104.00,1.42,26.80,72.05,2.03
1260.68,1258.22,1604536448.00,5.23,26.30,72.17,1.96
1260.00,1261.82,1052469568.00,7.80,26.06,71.84,1.98
1277.00,1257.08,1371435648.00,11.69,26.34,72.43,1.97
1282.19,1278.87,1453300992.00,14.67,25.23,72.81,2.04
1252.54,1283.22,1395358208.00,12.45,26.10,72.85,2.06
1257.76,1253.51,1075795584.00,11.50,24.55,72.81,2.13
1234.37,1257.76,1026804224.00,7.72,24.15,72.69,2.00
1263.20,1236.38,1159311488.00,9.01,23.86,73.30,2.05
1284.26,1264.52,1190228096.00,12.40,23.88,73.30,2.03
1267.38,1281.37,1232448512.00,12.06,22.96,73.20,2.09
1260.31,1269.42,1041059968.00,10.63,22.06,73.37,2.04
1249.01,1260.16,956078912.00,8.01,20.57,73.50,1.97
1284.88,1254.87,1168435712.00,10.80,20.70,73.96,1.97
1289.19,1283.99,1044765504.00,12.78,20.33,74.25,2.01
1266.07,1286.51,1123037184.00,10.61,21.36,74.54,1.96
1296.32,1266.29,1047552960.00,12.74,23.05,75.84,2.01
1305.32,1294.42,1000666816.00,14.72,22.57,76.27,1.99
1289.59,1304.79,931350208.00,13.31,22.89,76.17,1.95
1285.83,1288.64,974969856.00,11.35,21.99,76.26,1.98
1292.93,1282.11,840409088.00,10.50,22.84,76.71,2.09
